title;published_date;author;description;price;weeks_on_list
#ASKGARYVEE;2016-04-03;Gary Vaynerchuk;nan;nan;0
#GIRLBOSS;2014-05-25;Sophia Amoruso;nan;nan;14
10% HAPPIER;2014-03-30;Dan Harris;"A co-anchor of ""Nightline"" reports on the science and spiritual dimensions of meditation, and describes how it has improved his life.";nan;14
10-DAY GREEN SMOOTHIE CLEANSE;2014-08-03;J J Smith;nan;nan;40
100 BULLETS: DELUXE EDITION, BOOK FOUR;2013-05-05;Brian Azzarello and Eduardo Risso;This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 59 through 80.;49.99;4
100 BULLETS: DELUXE EDITION, BOOK THREE;2012-10-14;Brian Azzarello and Edward Risso;This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 37 through 58.;49.99;1
100 DAYS OF REAL FOOD;2014-09-14;Lisa Leake;nan;nan;2
100 DEADLY SKILLS;2015-11-01;Clint Emerson;The SEAL Operative's guide to eluding pursuit, capture and all manner of unseen danger.;nan;0
1000 DOT-TO-DOT: CITIES;2014-11-02;Thomas Pavitte;A graphic designer known for his 6,239 dot version of the Mona Lisa offers twenty exotic locations for adults to complete as line art.;nan;0
101 DOG TRICKS;2016-03-06;Kyra Sundance and Chalcy;A dog trainer shares advice and activities to engage, challenge and bond with your dog.;nan;0
1022 EVERGREEN PLACE;2010-09-19;Debbie Macomber;A growing romance in a small town | the 10th Cedar Grove novel.;7.99;3
108 STITCHES;2019-05-05;Ron Darling with Daniel Paisner;nan;nan;0
10TH ANNIVERSARY;2011-05-22;James Patterson and Maxine Paetro;Detective Lindsay Boxer’s long-awaited wedding celebration becomes a distant memory when the Women’s Murder Club is called in to find a missing baby.;27.99;5
11/22/63;2011-11-27;Stephen King;An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.;35.0;24
1105 YAKIMA STREET;2011-09-18;Debbie Macomber;Bruce Peyton’s pregnant wife has left him, and he’s not the only one in town with problems | Book 11 of the Cedar Cove series.;7.99;4
11TH HOUR;2012-05-27;James Patterson and Maxine Paetro;When a millionaire is gunned down, Detective Lindsay Boxer and the Women's Murder Club discover that the murder weapon is linked to the deaths of four of San Francisco's most untouchable criminals.;27.99;5
